catid	catname_en	catname_de
NA_251503400000	Sanders and Grinders	Schleifmaschinen und Schleifgeräte
NA_251503400500	Grinders	Schleifmaschinen
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040200	Non-Illuminated	Nicht beleuchtet
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251503000000	Corded Power Tools	Kabelgebundene Elektrowerkzeuge
NA_251503410000	Saws	Sägen
NA_251503410100	Band Saws	Bandsägen
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251501000000	Attachments	Anlagen
NA_251501090000	Drill Bits	Bohrer
NA_251501091800	Drill Bit Sets	Bohrer-Sets
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120200000000	Control System Connection Devices	Verbindungsgeräte für Steuerungssysteme
NA_120203000000	Control System Connection Cables	Anschlusskabel für Steuerungssysteme
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160302000000	Fittings & Accessories	Armaturen und Zubehör
NA_160302170000	J-Hooks	J-Hooks
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_160000000000	Fasteners & Hardwares	Befestigungselemente & Eisenwaren
NA_160400000000	Fasteners	Befestigungselemente
NA_160402000000	Nuts & Washers	Muttern und Unterlegscheiben
NA_160402020000	Washers	Unterlegscheiben
NA_160402020600	Lock Washers	Sicherungsscheiben
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160303000000	Ropes	Seile
NA_160303080000	Poly Ropes	Polyseile
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160303000000	Ropes	Seile
NA_160303080000	Poly Ropes	Polyseile
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160303000000	Ropes	Seile
NA_160303080000	Poly Ropes	Polyseile
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160303000000	Ropes	Seile
NA_160303080000	Poly Ropes	Polyseile
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160302000000	Fittings & Accessories	Armaturen und Zubehör
NA_160302220000	S-Hooks	S-Haken
NA_160000000000	Fasteners & Hardwares	Befestigungselemente & Eisenwaren
NA_160400000000	Fasteners	Befestigungselemente
NA_160402000000	Nuts & Washers	Muttern und Unterlegscheiben
NA_160402010000	Nuts	Nüsse
NA_160402010700	Hex Nuts	Sechskantmuttern
NA_160000000000	Fasteners & Hardwares	Befestigungselemente & Eisenwaren
NA_160400000000	Fasteners	Befestigungselemente
NA_160402000000	Nuts & Washers	Muttern und Unterlegscheiben
NA_160402020000	Washers	Unterlegscheiben
NA_160402020500	Flat Washers	Flache Unterlegscheiben
NA_160000000000	Fasteners & Hardwares	Befestigungselemente & Eisenwaren
NA_160400000000	Fasteners	Befestigungselemente
NA_160402000000	Nuts & Washers	Muttern und Unterlegscheiben
NA_160402020000	Washers	Unterlegscheiben
NA_160402020500	Flat Washers	Flache Unterlegscheiben
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240607000000	Straight Blade	Gerade Klinge
NA_240607030000	Single	Einzel
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240607000000	Straight Blade	Gerade Klinge
NA_240607030000	Single	Einzel
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090100	Commercial Grade	Gewerbliche Qualität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240609000000	Twist Lock	Drehverschluss
NA_240609030000	Single	Einzel
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240609000000	Twist Lock	Drehverschluss
NA_240609030000	Single	Einzel
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703010000	Decorator Switches	Dekorative Schalter
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703010000	Decorator Switches	Dekorative Schalter
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703010000	Decorator Switches	Dekorative Schalter
NA_270000000000	Connectors, Marking, & Termination	Steckverbinder, Kennzeichnung und Anschluss
NA_270100000000	Wire Bundling	Kabelbündelung
NA_270104000000	Cable Ties	Kabelbinder
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240607000000	Straight Blade	Gerade Klinge
NA_240607030000	Single	Einzel
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703010000	Decorator Switches	Dekorative Schalter
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909050000	Boots, Heads & Caps	Stiefel, Köpfe & Mützen
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251501000000	Attachments	Anlagen
NA_251501090000	Drill Bits	Bohrer
NA_251501092700	Jobber Length Bits	Bohrer in Jobber-Länge
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251501000000	Attachments	Anlagen
NA_251501090000	Drill Bits	Bohrer
NA_251501092700	Jobber Length Bits	Bohrer in Jobber-Länge
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251503000000	Corded Power Tools	Kabelgebundene Elektrowerkzeuge
NA_251503400000	Sanders and Grinders	Schleifmaschinen und Schleifgeräte
NA_251503400500	Grinders	Schleifmaschinen
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240607000000	Straight Blade	Gerade Klinge
NA_240607030000	Single	Einzel
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240609000000	Twist Lock	Drehverschluss
NA_240609030000	Single	Einzel
NA_220000000000	Safety Products	Sicherheitsprodukte
NA_220900000000	Personal Protective Equipment	Persönliche Schutzausrüstung
NA_221100000000	Safety Apparel	Schutzkleidung
NA_221107000000	Flame Resistant & Arc Flash Clothing	Flammhemmende und lichtbogenbeständige Kleidung
NA_221107030000	Arc Flash Kits	Störlichtbogen-Kits
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160303000000	Ropes	Seile
NA_160303080000	Poly Ropes	Polyseile
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703060000	Rocker Switches	Kippschalter
NA_240703060400	4-Way	4-Wege
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240607000000	Straight Blade	Gerade Klinge
NA_240607010000	Duplex	Doppelhaushälfte
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_160000000000	Fasteners & Hardwares	Befestigungselemente & Eisenwaren
NA_160400000000	Fasteners	Befestigungselemente
NA_160402000000	Nuts & Washers	Muttern und Unterlegscheiben
NA_160402010000	Nuts	Nüsse
NA_160402010700	Hex Nuts	Sechskantmuttern
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251503000000	Corded Power Tools	Kabelgebundene Elektrowerkzeuge
NA_251503410000	Saws	Sägen
NA_251503410100	Band Saws	Bandsägen
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120903000000	Indicator Pilot Lights	Kontrollleuchten
NA_120903040000	30mm	30 mm
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240400000000	Plugs & Connectors	Stecker und Steckverbinder
NA_240405000000	Twist Lock Devices	Drehverschlussvorrichtungen
NA_240405020000	Connectors	Steckverbinder
NA_150000000000	Electrical Enclosures & Boxes	Elektrische Gehäuse und Kästen
NA_150300000000	Electrical Enclosures	Elektrische Gehäuse
NA_150316000000	Pilot Device Enclosures	Gehäuse für Pilotgeräte
NA_150316020000	Non-Metallic	Nichtmetallisch
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909050000	Boots, Heads & Caps	Stiefel, Köpfe & Mützen
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040200	Non-Illuminated	Nicht beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120910000000	Selector Switches	Wahlschalter
NA_120910040000	30mm	30 mm
NA_120910040200	Non-Illuminated	Nicht beleuchtet
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090100	Commercial Grade	Gewerbliche Qualität
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251503000000	Corded Power Tools	Kabelgebundene Elektrowerkzeuge
NA_251503400000	Sanders and Grinders	Schleifmaschinen und Schleifgeräte
NA_251503400500	Grinders	Schleifmaschinen
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120903000000	Indicator Pilot Lights	Kontrollleuchten
NA_120903040000	30mm	30 mm
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240607000000	Straight Blade	Gerade Klinge
NA_240607030000	Single	Einzel
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240607000000	Straight Blade	Gerade Klinge
NA_240607030000	Single	Einzel
NA_280000000000	Wire, Cords & Cables	Drähte, Kabel und Leitungen
NA_280300000000	DataComm & Low Voltage Cable	Datenkommunikations- und Niederspannungskabel
NA_280305000000	Voice, Data & Video Cables	Sprach-, Daten- und Videokabel
NA_280305160000	Patch Cords	Patchkabel
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040200	Non-Illuminated	Nicht beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040200	Non-Illuminated	Nicht beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120910000000	Selector Switches	Wahlschalter
NA_120910040000	30mm	30 mm
NA_120910040200	Non-Illuminated	Nicht beleuchtet
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160302000000	Fittings & Accessories	Armaturen und Zubehör
NA_160302170000	J-Hooks	J-Hooks
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040200	Non-Illuminated	Nicht beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040200	Non-Illuminated	Nicht beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120200000000	Control System Connection Devices	Verbindungsgeräte für Steuerungssysteme
NA_120203000000	Control System Connection Cables	Anschlusskabel für Steuerungssysteme
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120200000000	Control System Connection Devices	Verbindungsgeräte für Steuerungssysteme
NA_120203000000	Control System Connection Cables	Anschlusskabel für Steuerungssysteme
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703010000	Decorator Switches	Dekorative Schalter
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160303000000	Ropes	Seile
NA_160303110000	Twines	Bindfäden
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160303000000	Ropes	Seile
NA_160303080000	Poly Ropes	Polyseile
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251503000000	Corded Power Tools	Kabelgebundene Elektrowerkzeuge
NA_251503400000	Sanders and Grinders	Schleifmaschinen und Schleifgeräte
NA_251503400500	Grinders	Schleifmaschinen
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120910000000	Selector Switches	Wahlschalter
NA_120910040000	30mm	30 mm
NA_120910040200	Non-Illuminated	Nicht beleuchtet
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_250800000000	Hand Tools	Handwerkzeuge
NA_250855000000	Pliers	Zange
NA_250855280000	Tongue and Groove Pliers	Wasserpumpenzange
NA_270000000000	Connectors, Marking, & Termination	Steckverbinder, Kennzeichnung und Anschluss
NA_270100000000	Wire Bundling	Kabelbündelung
NA_270104000000	Cable Ties	Kabelbinder
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251503000000	Corded Power Tools	Kabelgebundene Elektrowerkzeuge
NA_251503410000	Saws	Sägen
NA_251503410800	Reciprocating Saws	Säbelsägen
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_220000000000	Safety	Sicherheit
NA_221300000000	Warning Signs & Labels	Warnschilder und -etiketten
NA_221309000000	Labels and Markers	Etiketten und Markierungen
NA_221309050000	Warning Labels	Warnhinweise
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160303000000	Ropes	Seile
NA_160303080000	Poly Ropes	Polyseile
NA_110000000000	Conduit, Fittings, & Raceway	Leitungsrohre, Formstücke und Kabelkanäle
NA_110300000000	Electrical Conduit & Fittings	Elektroinstallationsrohre und -armaturen
NA_110302000000	Metallic Conduit & Fittings	Metallische Leitungsrohre und Formstücke
NA_110302030000	Conduit Body, Covers, & Gaskets	Leitungskörper, Abdeckungen und Dichtungen
NA_110302030900	Type LB Condulets	Leitungen vom Typ LB
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040200	Non-Illuminated	Nicht beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040200	Non-Illuminated	Nicht beleuchtet
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120903000000	Indicator Pilot Lights	Kontrollleuchten
NA_120903040000	30mm	30 mm
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120903000000	Indicator Pilot Lights	Kontrollleuchten
NA_120903040000	30mm	30 mm
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251503000000	Corded Power Tools	Kabelgebundene Elektrowerkzeuge
NA_251503400000	Sanders and Grinders	Schleifmaschinen und Schleifgeräte
NA_251503400500	Grinders	Schleifmaschinen
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120900000000	Operators	Betreiber
NA_120909000000	Push Buttons	Druckknöpfe
NA_120909040000	30mm	30 mm
NA_120909040100	Illuminated	Beleuchtet
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251501000000	Attachments	Anlagen
NA_251501090000	Drill Bits	Bohrer
NA_251501090400	Auger Bits	Bohrer
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251501000000	Attachments	Anlagen
NA_251501090000	Drill Bits	Bohrer
NA_251501090400	Auger Bits	Bohrer
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251501000000	Attachments	Anlagen
NA_251501090000	Drill Bits	Bohrer
