manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application	color	height	length	material	size	voltage_rating	weight	type	availability	url	pid	title	description	brand	thumb_image	price	sale_price	category_paths
Legrand-Pass & Seymour	CS6369	['CS6', 'CS63', 'CS636', 'CS6369']	78500763690	Industrial	Black			Thermoplastic	3.3	250 V	0.550	California Style Turnlock Receptacle	True	https://pacific.bloomreach.com/supplyglobal/products/4434999___4434999	4434999	PS CS6369 Receptacle California	Pass & Seymour CS6369 Receptacle California Standard Style 50Amp 125/250Volt Turnlok	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4434999.jpg	14.72	9.27	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240609000000', 'name': 'Twist Lock'}, {'id': 'NA_240609030000', 'name': 'Single'}]]
The Oberon Company	FRTC4B-L	['FRT', 'FRTC', 'FRTC4', 'FRTC4B', 'FRTC4B-', 'FRTC4B-L']	73140632523										True	https://pacific.bloomreach.com/supplyglobal/products/4442285___4442285	4442285	OBERON FRTC4B-L NFPA 70E HRC4 ARC	Oberon FRTC4B-L NFPA 70E HRC4 Arc Flash Kit - FRT Cotton Hood w/Hard Cap, Coat & Bib Overalls - Large	Oberon	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4442285.jpg	11.46	7.22	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221107000000', 'name': 'Flame Resistant & Arc Flash Clothing'}, {'id': 'NA_221107030000', 'name': 'Arc Flash Kits'}]]
LH Dottie	3AK	['3AK']	78100229635					Nylon	#12 x 1-1/2 IN		0.950	Anchor Kit	True	https://pacific.bloomreach.com/supplyglobal/products/4444860___4444860	4444860	DOTTIE 3AK #12 ANCHOR KIT PHILLIPS	LH Dottie 3AK #12 Phillips/Slotted Anchor Kit with Wing Anchor	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4444860.jpg	8.95	5.64	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160100000000', 'name': 'Fastener Assortments'}, {'id': 'NA_160101000000', 'name': 'Anchor Kit'}]]
Eaton B-Line	BKW094	['BKW', 'BKW0', 'BKW09', 'BKW094']	78205140727	FASTENERS,KWIK WIRE,			500 ft				8.780	Wire Rope	True	https://pacific.bloomreach.com/supplyglobal/products/4445612___4445612	4445612	B-LINE BKW094 KWIKWIRE WIRE ROPE,	Eaton B-Line BKW094 KwikWire 3/32 Inch Wire Rope	Eaton	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4445612	5.93	3.73	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160303000000', 'name': 'Ropes'}, {'id': 'NA_160303080000', 'name': 'Poly Ropes'}]]
Eaton Wiring Devices	7504W-BOX	['750', '7504', '7504W', '7504W-', '7504W-B', '7504W-BO', '7504W-BOX']	03266464383								0.250		True	https://pacific.bloomreach.com/supplyglobal/products/4447259___4447259	4447259	CWD 7504W-BOX Switch Decorator 4Way	Eaton Wiring Devices 7504W-BOX 4-Way Decorator Switch	Eaton	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4447259.jpg	6.96	4.38	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703060000', 'name': 'Rocker Switches'}, {'id': 'NA_240703060400', 'name': '4-Way'}]]
Bridgeport Fittings, LLC	LB-47	['LB-', 'LB-4', 'LB-47']	78174704147	Threaded bodies for rigid conduit or IMC allows access for inspection, pulling and maintenance.				Aluminum			4.700	Type LB	True	https://pacific.bloomreach.com/supplyglobal/products/4448623___4448623	4448623	BRDGPRT LB-47 2-1/2 LB Rigid	Bridgeport LB-47 2-1/2 Type-LB Conduit Body, Aluminum	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4448623.jpg	5.27	3.32	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Bridgeport Fittings, LLC	LB-49CG	['LB-', 'LB-4', 'LB-49', 'LB-49C', 'LB-49CG']	78174703649	Threaded bodies for rigid conduit or IMC allows access for inspection, pulling and maintenance.				Aluminum			8.600	Type LB Set Screw	True	https://pacific.bloomreach.com/supplyglobal/products/4448624___4448624	4448624	BRDGPRT LB-49CG 3-1/2 LB Rigid	Bridgeport LB-49CG 3-1/2 Type-LB Conduit Body w/ Cover &amp; Gasket, Aluminum	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4448624.jpg	9.0	5.67	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Bridgeport Fittings, LLC	MLB-48	['MLB', 'MLB-', 'MLB-4', 'MLB-48']	78174744148	Mogul style conduit body for use with threaded rigid/IMC conduit. Suitable for use in wet locations. Max wire fill is 3-500 MCM THHN, THWN, XHHW				Aluminum			12.628	Mogul Conduit Bodies	True	https://pacific.bloomreach.com/supplyglobal/products/4448635___4448635	4448635	BRDGPRT MLB-48 3 Mogul Conduit	Bridgeport MLB-48 3 Mogul Conduit Body, Aluminum	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4448635.jpg	12.59	7.93	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Legrand-Pass & Seymour	885	['885']	78500788500	Residential/Commercial	Brown			Thermoplastic	4.2 in	125 V	0.130	Decorator Receptacle	True	https://pacific.bloomreach.com/supplyglobal/products/4449088___4449088	4449088	PS 885 Decorator Duplex Receptacle	Pass & Seymour 885 Receptacle Sierraplex 15Amp 125Volt Screw Terminal, Speedwire, Brown	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4449088.jpg	14.16	8.92	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240607000000', 'name': 'Straight Blade'}, {'id': 'NA_240607010000', 'name': 'Duplex'}]]
Legrand-Pass & Seymour	L1030-C	['L10', 'L103', 'L1030', 'L1030-', 'L1030-C']	78500710301	Commercial	Black/White			Thermoplastic	3.4	125/250 V	0.410	Turnlock Connector	True	https://pacific.bloomreach.com/supplyglobal/products/4449173___4449173	4449173	PS L1030-C Turnlok Connector 3Wire	Pass & Seymour L1030-C Turnlok Connector 3Wire 30Amp 125/250V	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4449173.jpg	14.67	9.24	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240400000000', 'name': 'Plugs & Connectors'}, {'id': 'NA_240405000000', 'name': 'Twist Lock Devices'}, {'id': 'NA_240405020000', 'name': 'Connectors'}]]
Greenlee	1433AVBB	['143', '1433', '1433A', '1433AV', '1433AVB', '1433AVBB']	78331004187								0.710	Hex	True	https://pacific.bloomreach.com/supplyglobal/products/4450923___4450923	4450923	GRN 1433AVBB Nut Unit-Hex 1-12 BB	Greenlee 1433AVBB Nut Unit-Hex 1-12 BB	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4450923.jpg	14.83	9.35	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardwares'}, {'id': 'NA_160400000000', 'name': 'Fasteners'}, {'id': 'NA_160402000000', 'name': 'Nuts & Washers'}, {'id': 'NA_160402010000', 'name': 'Nuts'}, {'id': 'NA_160402010700', 'name': 'Hex Nuts'}]]
Milwaukee Electric Tool	6242-6	['624', '6242', '6242-', '6242-6']	04524219822	For Cutting Metal In-Place, Overhead Or In Tight Spaces						120 VAC	14.900	Compact	True	https://pacific.bloomreach.com/supplyglobal/products/4456353___4456353	4456353	MILW 6242-6 Band Saw Compact	Milwaukee 6242-6 Compact Band Saw	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4456353.jpg	9.78	6.16	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410100', 'name': 'Band Saws'}]]
Rockwell Automation	800T-PN16	['800', '800T', '800T-', '800T-P', '800T-PN', '800T-PN1', '800T-PN16']	61132024805							120@50/60Hz VAC	0.430	30mm Pilot Light	True	https://pacific.bloomreach.com/supplyglobal/products/4456510___4456510	4456510	AB 800T-PN16 800T 30mm Push Button	A-B 800T-PN16 30mm Pilot Light 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4456510.jpg	8.92	5.62	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120903000000', 'name': 'Indicator Pilot Lights'}, {'id': 'NA_120903040000', 'name': '30mm'}]]
Legrand-Pass & Seymour	CS6364	['CS6', 'CS63', 'CS636', 'CS6364']	78500763640	Industrial Spec Grade	Black/White		4 in	Nylon	4 in	125/250 V	0.730	Turnlock Connector	True	https://pacific.bloomreach.com/supplyglobal/products/447120___447120	447120	PS CS6364 Connector California	Pass & Seymour CS6364 Connector California Standard Style 50Amp 125/250Volt Turnlok	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_447120.jpg	7.85	4.94	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240400000000', 'name': 'Plugs & Connectors'}, {'id': 'NA_240405000000', 'name': 'Twist Lock Devices'}, {'id': 'NA_240405020000', 'name': 'Connectors'}]]
Rockwell Automation	800H-3HZ4C	['800', '800H', '800H-', '800H-3', '800H-3H', '800H-3HZ', '800H-3HZ4', '800H-3HZ4C']	78118058181		Gray			Thermoplastic Polyester			0.765	30mm Push Button Enclosure	True	https://pacific.bloomreach.com/supplyglobal/products/4471502___4471502	4471502	AB 800H-3HZ4C 30mm Push-Button	A-B 800H-3HZ4C 30mm Push Button Enclosure 800H PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4471502.jpg	12.3	7.75	[[{'id': 'NA_150000000000', 'name': 'Electrical Enclosures & Boxes'}, {'id': 'NA_150300000000', 'name': 'Electrical Enclosures'}, {'id': 'NA_150316000000', 'name': 'Pilot Device Enclosures'}, {'id': 'NA_150316020000', 'name': 'Non-Metallic'}]]
Rockwell Automation	800T-N248G	['800', '800T', '800T-', '800T-N', '800T-N2', '800T-N24', '800T-N248', '800T-N248G']	66207333185	For non-illuminated Jumbo Mushroom 30mm Push Button	Black						0.170	30mm Push Button Cap	True	https://pacific.bloomreach.com/supplyglobal/products/4471630___4471630	4471630	AB 800T-N248G 30mm Push-Button	A-B 800T-N248G 30mm Replacement Color Cap 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4471630.jpg	5.22	3.29	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909050000', 'name': 'Boots, Heads & Caps'}]]
Rockwell Automation	800TC-A7D1	['800', '800T', '800TC', '800TC-', '800TC-A', '800TC-A7', '800TC-A7D', '800TC-A7D1']	66207281332		Blue						0.388	30mm Momentary Push Button	True	https://pacific.bloomreach.com/supplyglobal/products/4472065___4472065	4472065	AB 800TC-A7D1 800T 30mm Push Button	A-B 800TC-A7D1 30mm Momentary Push Button 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4472065.jpg	8.09	5.09	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	800T-J50	['800', '800T', '800T-', '800T-J', '800T-J5', '800T-J50']	66207333035								0.430	30mm Selector Switch	True	https://pacific.bloomreach.com/supplyglobal/products/4473776___4473776	4473776	AB 800T-J50 800T 30mm Push Button	A-B 800T-J50 30mm Selector Switch 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4473776.jpg	12.12	7.64	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120910000000', 'name': 'Selector Switches'}, {'id': 'NA_120910040000', 'name': '30mm'}, {'id': 'NA_120910040200', 'name': 'Non-Illuminated'}]]
Legrand-Pass & Seymour	CSB15AC2-W	['CSB', 'CSB1', 'CSB15', 'CSB15A', 'CSB15AC', 'CSB15AC2', 'CSB15AC2-', 'CSB15AC2-W']	78500712614	Commercial	White			Thermoplastic	3.3	120/277 V	0.170	Switch	True	https://pacific.bloomreach.com/supplyglobal/products/4473873___4473873	4473873	PS CSB15AC2-W Spec Grade 2Pole	Pass & Seymour CSB15AC2-W Construction 2Pole Switch, Back & Side Wire, 15Amp 120/277Volt, White	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4473873.jpg	12.81	8.07	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090100', 'name': 'Commercial Grade'}]]
Milwaukee Electric Tool	6121-30	['612', '6121', '6121-', '6121-3', '6121-30']	04524224145								6.570		True	https://pacific.bloomreach.com/supplyglobal/products/4474251___4474251	4474251	MILW 6121-30 4.5 10A Sag - Trigger	Milwaukee 6121-30 11 Amp 4-1/2 Small Angle Grinder Trigger Grip, Lock-On	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4474251.jpg	9.76	6.15	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503400000', 'name': 'Sanders and Grinders'}, {'id': 'NA_251503400500', 'name': 'Grinders'}]]
Rockwell Automation	800T-PH26G	['800', '800T', '800T-', '800T-P', '800T-PH', '800T-PH2', '800T-PH26', '800T-PH26G']	66246857563		Green Plastic Lens					240 VAC	0.445	30mm Pilot Light	True	https://pacific.bloomreach.com/supplyglobal/products/4474440___4474440	4474440	AB 800T-PH26G 800T 30mm Push Button	A-B 800T-PH26G 30mm Pilot Light 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4474440.jpg	11.99	7.55	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120903000000', 'name': 'Indicator Pilot Lights'}, {'id': 'NA_120903040000', 'name': '30mm'}]]
Legrand-Pass & Seymour	5361-LA	['536', '5361', '5361-', '5361-L', '5361-LA']	78500753609	Commercial	Light Almond			Nylon	1.32 L x 1.093 W x 3.68 H In	125 V	0.178	Spec Grade Single Receptacle, Heavy Duty	True	https://pacific.bloomreach.com/supplyglobal/products/4485472___4485472	4485472	PS 5361-LA Single Receptacle, HD	Pass & Seymour 5361-LA Single Receptacle, HD Spec Grade, 20A 125V, Back & Side Wired - Light Almond	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4485472.jpg	14.95	9.42	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240607000000', 'name': 'Straight Blade'}, {'id': 'NA_240607030000', 'name': 'Single'}]]
Legrand-Pass & Seymour	5871-W	['587', '5871', '5871-', '5871-W']	78500758713	Commercial	White			Nylon	1.32 L x 1.093 W x 3.68 H In	250 V	0.177	Spec Grade Single Receptacle, Heavy Duty	True	https://pacific.bloomreach.com/supplyglobal/products/4486905___4486905	4486905	PS 5871-W Single Receptacle, HD	Pass & Seymour 5871-W Single Receptacle, HD Spec Grade, 20A 250V, Back & Side Wired - White	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4486905.jpg	14.61	9.2	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240607000000', 'name': 'Straight Blade'}, {'id': 'NA_240607030000', 'name': 'Single'}]]
Panduit	STPCH5MBBL	['STP', 'STPC', 'STPCH', 'STPCH5', 'STPCH5M', 'STPCH5MB', 'STPCH5MBB', 'STPCH5MBBL']	07498371820		International Gray		16.40	Copper			0.410	Copper Patch Cord	True	https://pacific.bloomreach.com/supplyglobal/products/4491909___4491909	4491909	PAND STPCH5MBBL Copper Patch Cord	CU PATCH CRD,CAT 5E,S/FTP,5M,BBL,5M	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4491909.jpg	11.42	7.19	[[{'id': 'NA_280000000000', 'name': 'Wire, Cords & Cables'}, {'id': 'NA_280300000000', 'name': 'DataComm & Low Voltage Cable'}, {'id': 'NA_280305000000', 'name': 'Voice, Data & Video Cables'}, {'id': 'NA_280305160000', 'name': 'Patch Cords'}]]
Rockwell Automation	800T-FX6A4	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FX6', '800T-FX6A', '800T-FX6A4']	78118023846		Red						0.359	30mm Push-Pull Device	True	https://pacific.bloomreach.com/supplyglobal/products/4492524___4492524	4492524	AB 800T-FX6A4 800T 30mm Push Button	A-B 800T-FX6A4 30mm Push-Pull Device 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4492524.jpg	6.22	3.92	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	800T-FX3A1	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FX3', '800T-FX3A', '800T-FX3A1']	66207315313		Orange						0.324	30mm Push-Pull Device	True	https://pacific.bloomreach.com/supplyglobal/products/4493749___4493749	4493749	AB 800T-FX3A1 800T 30mm Push Button	A-B 800T-FX3A1 30mm Push-Pull Device 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4493749.jpg	13.4	8.44	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	800T-H33H	['800', '800T', '800T-', '800T-H', '800T-H3', '800T-H33', '800T-H33H']	78118023869								0.670	30mm Selector Switch	True	https://pacific.bloomreach.com/supplyglobal/products/4494467___4494467	4494467	AB 800T-H33H 30mm Push Button	A-B 800T-H33H 30mm Selector Switch 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4494467.jpg	7.71	4.86	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120910000000', 'name': 'Selector Switches'}, {'id': 'NA_120910040000', 'name': '30mm'}, {'id': 'NA_120910040200', 'name': 'Non-Illuminated'}]]
nVent	CAT64HP	['CAT', 'CAT6', 'CAT64', 'CAT64H', 'CAT64HP']	78285661763	Datacom, Electrical				Steel	4 in dia		0.235	CADDY� CAT HP J-Hook	True	https://pacific.bloomreach.com/supplyglobal/products/4494628___4494628	4494628	CADDY CAT64HP CLIP,CABLE,CATHP,4	Erico CAT64HP 4 Inch Pre-Galvanized Steel Cable Support J-Hook	nVent	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4494628.jpg	13.6	8.57	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302170000', 'name': 'J-Hooks'}]]
Rockwell Automation	800T-B9B	['800', '800T', '800T-', '800T-B', '800T-B9', '800T-B9B']	66207311332		Yellow						0.273	30mm Momentary Push Button	True	https://pacific.bloomreach.com/supplyglobal/products/4497664___4497664	4497664	AB 800T-B9B 800T 30mm Push Button	A-B 800T-B9B 30mm Momentary Push Button 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4497664.jpg	6.05	3.81	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	800H-BR2	['800', '800H', '800H-', '800H-B', '800H-BR', '800H-BR2']	66207362445		Black						0.388	30mm Momentary Push Button	True	https://pacific.bloomreach.com/supplyglobal/products/4497856___4497856	4497856	AB 800H-BR2 30mm Push Button 800H	A-B 800H-BR2 30mm Momentary Push Button 800H PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4497856.jpg	7.52	4.74	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	1492-CONCAB005S2	['149', '1492', '1492-', '1492-C', '1492-CO', '1492-CON', '1492-CONC', '1492-CONCA', '1492-CONCAB', '1492-CONCAB0', '1492-CONCAB00', '1492-CONCAB005', '1492-CONCAB005S', '1492-CONCAB005S2']	88563010340								0.899		True	https://pacific.bloomreach.com/supplyglobal/products/4499037___4499037	4499037	AB 1492-CONCAB005S2 0.5m Cab Compat	A-B 1492-CONCAB005S2 0.5m Cab Compat w/LD006	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4499037.jpg	11.49	7.24	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Rockwell Automation	1492-CONACAB005C	['149', '1492', '1492-', '1492-C', '1492-CO', '1492-CON', '1492-CONA', '1492-CONAC', '1492-CONACA', '1492-CONACAB', '1492-CONACAB0', '1492-CONACAB00', '1492-CONACAB005', '1492-CONACAB005C']	61259866183								0.631		True	https://pacific.bloomreach.com/supplyglobal/products/4499050___4499050	4499050	AB 1492-CONACAB005C 0.5m Cab Compat	A-B 1492-CONACAB005C 0.5m Cab Compat w/LA002 (volts)	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4499050.jpg	11.44	7.21	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Legrand-Pass & Seymour	TM873-WSL	['TM8', 'TM87', 'TM873', 'TM873-', 'TM873-W', 'TM873-WS', 'TM873-WSL']	78500724556	Residential/Commercial	White			Thermoplastic	5	120 V	0.150	Combination Switch	True	https://pacific.bloomreach.com/supplyglobal/products/4499518___4499518	4499518	PS TM873-WSL Decor Switch 3W 15A	Pass & Seymour TM873-WSL 15 Amp 120 VAC 3-Way White Thermoplastic Screw Mounting Illuminated Rocker Decorator Switch	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4499518.jpg	5.83	3.67	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703010000', 'name': 'Decorator Switches'}]]
Minerallac	67699	['676', '6769', '67699']	08593767699									Blow Twine	True	https://pacific.bloomreach.com/supplyglobal/products/4500909___4500909	4500909	CULLY 67699 6500' Two-Ply	Cully 67699 6500' Two-Ply Polypropylene Blow Twine, 200#	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4500909.jpg	12.0	7.56	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160303000000', 'name': 'Ropes'}, {'id': 'NA_160303110000', 'name': 'Twines'}]]
Minerallac	67838	['678', '6783', '67838']	08593767838		Yellow		600' FT					3-Strand Polypropylene Rope	True	https://pacific.bloomreach.com/supplyglobal/products/4500919___4500919	4500919	CULLY 67838 YELLOW POLY ROPE	Minerallac 67838 1/2 Inch x 600 Foot 378 lb Yellow Polypropylene Rope	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4500919	5.79	3.65	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160303000000', 'name': 'Ropes'}, {'id': 'NA_160303080000', 'name': 'Poly Ropes'}]]
Rockwell Automation	800T-QBH2AX	['800', '800T', '800T-', '800T-Q', '800T-QB', '800T-QBH', '800T-QBH2', '800T-QBH2A', '800T-QBH2AX']	88563026080		Amber					130 VAC//VDC	0.353	30mm Momentary Push Button	True	https://pacific.bloomreach.com/supplyglobal/products/4501077___4501077	4501077	AB 800T-QBH2AX 800T 30mm Push	A-B 800T-QBH2AX 30mm Momentary Push Button 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4501077.jpg	12.14	7.65	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
