manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application_en	application	color_en	color	height	length	material_en	material	size_en	size	voltage_rating	weight	type_en	type	availability	url	pid	title_en	title	description_en	description	brand	thumb_image	price	sale_price	category_paths
Rockwell Automation	800T-FX3A1	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FX3', '800T-FX3A', '800T-FX3A1']	66207315313		 	Orange	Orange				 		 		0.324	30mm Push-Pull Device	30-mm-Schub-Zug-Gerät	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4493749___4493749	4493749	AB 800T-FX3A1 800T 30mm Push Button	AB 800T-FX3A1 800T 30mm Drucktaster	A-B 800T-FX3A1 30mm Push-Pull Device 800T PB	A-B 800T-FX3A1 30mm Push-Pull-Gerät 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4493749.jpg	13.4	8.44	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	800T-H33H	['800', '800T', '800T-', '800T-H', '800T-H3', '800T-H33', '800T-H33H']	78118023869		 		 				 		 		0.67	30mm Selector Switch	30-mm-Wahlschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4494467___4494467	4494467	AB 800T-H33H 30mm Push Button	AB 800T-H33H 30mm Drucktaster	A-B 800T-H33H 30mm Selector Switch 800T PB	A-B 800T-H33H 30mm Wahlschalter 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4494467.jpg	7.71	4.86	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120910000000', 'name': 'Selector Switches'}, {'id': 'NA_120910040000', 'name': '30mm'}, {'id': 'NA_120910040200', 'name': 'Non-Illuminated'}]]
nVent	CAT64HP	['CAT', 'CAT6', 'CAT64', 'CAT64H', 'CAT64HP']	78285661763	Datacom, Electrical	Datenkommunikation, Elektrotechnik		 			Steel	Stahl	4 in dia	4 Zoll Durchmesser		0.235	CADDY� CAT HP J-Hook	CADDY® CAT HP J-Haken	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4494628___4494628	4494628	CADDY CAT64HP CLIP,CABLE,CATHP,4	CADDY CAT64HP CLIP, CABLE, CATHP,4	Erico CAT64HP 4 Inch Pre-Galvanized Steel Cable Support J-Hook	Erico CAT64HP 4 Zoll vorverzinkter Stahl-Kabelträger J-Haken	nVent	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4494628.jpg	13.6	8.57	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302170000', 'name': 'J-Hooks'}]]
Rockwell Automation	800T-B9B	['800', '800T', '800T-', '800T-B', '800T-B9', '800T-B9B']	66207311332		 	Yellow	Gelb				 		 		0.273	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4497664___4497664	4497664	AB 800T-B9B 800T 30mm Push Button	AB 800T-B9B 800T 30mm Drucktaster	A-B 800T-B9B 30mm Momentary Push Button 800T PB	A-B 800T-B9B 30mm Momentan-Drucktaster 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4497664.jpg	6.05	3.81	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	800H-BR2	['800', '800H', '800H-', '800H-B', '800H-BR', '800H-BR2']	66207362445		 	Black	Schwarz				 		 		0.388	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4497856___4497856	4497856	AB 800H-BR2 30mm Push Button 800H	AB 800H-BR2 30mm Drucktaster 800H	A-B 800H-BR2 30mm Momentary Push Button 800H PB	A-B 800H-BR2 30mm Momentan-Drucktaster 800H PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4497856.jpg	7.52	4.74	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	1492-CONCAB005S2	['149', '1492', '1492-', '1492-C', '1492-CO', '1492-CON', '1492-CONC', '1492-CONCA', '1492-CONCAB', '1492-CONCAB0', '1492-CONCAB00', '1492-CONCAB005', '1492-CONCAB005S', '1492-CONCAB005S2']	88563010340		 		 				 		 		0.899		 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4499037___4499037	4499037	AB 1492-CONCAB005S2 0.5m Cab Compat	AB 1492-CONCAB005S2 0,5 m Kabine kompatibel	A-B 1492-CONCAB005S2 0.5m Cab Compat w/LD006	A-B 1492-CONCAB005S2 0,5 m Kabine kompatibel mit LD006	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4499037.jpg	11.49	7.24	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Rockwell Automation	1492-CONACAB005C	['149', '1492', '1492-', '1492-C', '1492-CO', '1492-CON', '1492-CONA', '1492-CONAC', '1492-CONACA', '1492-CONACAB', '1492-CONACAB0', '1492-CONACAB00', '1492-CONACAB005', '1492-CONACAB005C']	61259866183		 		 				 		 		0.631		 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4499050___4499050	4499050	AB 1492-CONACAB005C 0.5m Cab Compat	AB 1492-CONACAB005C 0,5 m Kabinenkompatibilität	A-B 1492-CONACAB005C 0.5m Cab Compat w/LA002 (volts)	A-B 1492-CONACAB005C 0,5 m Kabinenkompatibel mit LA002 (Volt)	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4499050.jpg	11.44	7.21	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Legrand-Pass & Seymour	TM873-WSL	['TM8', 'TM87', 'TM873', 'TM873-', 'TM873-W', 'TM873-WS', 'TM873-WSL']	78500724556	Residential/Commercial	Wohn-/Gewerbeimmobilien	White	Weiß			Thermoplastic	Thermoplast	5	5	120 V	0.15	Combination Switch	Kombinationsschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4499518___4499518	4499518	PS TM873-WSL Decor Switch 3W 15A	PS TM873-WSL Dekorschalter 3W 15A	Pass & Seymour TM873-WSL 15 Amp 120 VAC 3-Way White Thermoplastic Screw Mounting Illuminated Rocker Decorator Switch	Pass & Seymour TM873-WSL 15 A 120 V AC 3-Wege-Wippschalter mit Beleuchtung, weiß, thermoplastisch, Schraubmontage	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4499518.jpg	5.83	3.67	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703010000', 'name': 'Decorator Switches'}]]
Minerallac	67699	['676', '6769', '67699']	8593767699		 		 				 		 			Blow Twine	Windgarn	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4500909___4500909	4500909	CULLY 67699 6500' Two-Ply	CULLY 67699 6500' Zweilagig	Cully 67699 6500' Two-Ply Polypropylene Blow Twine, 200#	Cully 67699 6500' Zweilagiges Polypropylen-Blasgarn, 200#	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4500909.jpg	12	7.56	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160303000000', 'name': 'Ropes'}, {'id': 'NA_160303110000', 'name': 'Twines'}]]
Minerallac	67838	['678', '6783', '67838']	8593767838		 	Yellow	Gelb		600' FT		 		 			3-Strand Polypropylene Rope	3-litziges Polypropylenseil	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4500919___4500919	4500919	CULLY 67838 YELLOW POLY ROPE	CULLY 67838 GELBES POLYSEIL	Minerallac 67838 1/2 Inch x 600 Foot 378 lb Yellow Polypropylene Rope	Minerallac 67838 1/2 Zoll x 600 Fuß 378 lb gelbes Polypropylenseil	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4500919	5.79	3.65	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160303000000', 'name': 'Ropes'}, {'id': 'NA_160303080000', 'name': 'Poly Ropes'}]]
Rockwell Automation	800T-QBH2AX	['800', '800T', '800T-', '800T-Q', '800T-QB', '800T-QBH', '800T-QBH2', '800T-QBH2A', '800T-QBH2AX']	88563026080		 	Amber	Bernstein				 		 	130 VAC//VDC	0.353	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4501077___4501077	4501077	AB 800T-QBH2AX 800T 30mm Push	AB 800T-QBH2AX 800T 30mm Druck	A-B 800T-QBH2AX 30mm Momentary Push Button 800T PB	A-B 800T-QBH2AX 30mm Momentan-Drucktaster 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4501077.jpg	12.14	7.65	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
Rockwell Automation	800T-QBH2RX	['800', '800T', '800T-', '800T-Q', '800T-QB', '800T-QBH', '800T-QBH2', '800T-QBH2R', '800T-QBH2RX']	88563026098		 	Red	Rot				 		 	130 VAC//VDC	0.348	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4501079___4501079	4501079	AB 800T-QBH2RX 800T 30mm Push	AB 800T-QBH2RX 800T 30mm Push	A-B 800T-QBH2RX 30mm Momentary Push Button 800T PB	A-B 800T-QBH2RX 30mm Momentan-Drucktaster 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4501079.jpg	12.02	7.57	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
Rockwell Automation	800T-QBH2WX	['800', '800T', '800T-', '800T-Q', '800T-QB', '800T-QBH', '800T-QBH2', '800T-QBH2W', '800T-QBH2WX']	88563026101		 	White	Weiß				 		 	130 VAC//VDC	0.355	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4501082___4501082	4501082	AB 800T-QBH2WX 800T 30mm Push	AB 800T-QBH2WX 800T 30mm Push	A-B 800T-QBH2WX 30mm Momentary Push Button 800T PB	A-B 800T-QBH2WX 30mm Momentan-Drucktaster 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4501082.jpg	6	3.78	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
Milwaukee Electric Tool	6089-30	['608', '6089', '6089-', '6089-3', '6089-30']	4524215591		 		 				 		 		17.67		 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4501927___4501927	4501927	MILW 6089-30 7/9 ROTO-LOK LAG	MILW 6089-30 7/9 ROTO-LOK LAG	Milwaukee 6089-30 15 Amp 7/9 Roto-Lok&#174; - Large Angle Grinder w/ Lock-On	Milwaukee 6089-30 15 Amp 7/9 Roto-Lok™ - Großer Winkelschleifer mit Arretierung	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4501927.jpg	10.28	6.48	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503400000', 'name': 'Sanders and Grinders'}, {'id': 'NA_251503400500', 'name': 'Grinders'}]]
Rockwell Automation	800T-H4812	['800', '800T', '800T-', '800T-H', '800T-H4', '800T-H48', '800T-H481', '800T-H4812']	66207397043		 		 				 		 		0.57		 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4503142___4503142	4503142	AB 800T-H4812 800T 30mm Push Button	AB 800T-H4812 800T 30mm Drucktaster	A-B 800T-H4812 30mm Selector Switch 800T PB	A-B 800T-H4812 30mm Wahlschalter 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4503142.jpg	10.43	6.57	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120910000000', 'name': 'Selector Switches'}, {'id': 'NA_120910040000', 'name': '30mm'}, {'id': 'NA_120910040200', 'name': 'Non-Illuminated'}]]
Bridgeport Fittings, LLC	LB-42	['LB-', 'LB-4', 'LB-42']	78174704142	Threaded bodies for rigid conduit or IMC allows access for inspection, pulling and maintenance.	Gewindekörper für starre Leitungen oder IMC ermöglichen den Zugang für Inspektion, Einzug und Wartung.		 			Aluminum	Aluminium		 		0.44	Type LB	Typ LB	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4504383___4504383	4504383	BRDGPRT LB-42 3/4 LB Rigid Conduit	BRDGPRT LB-42 3/4 LB Starres Schutzrohr	Bridgeport LB-42 3/4 Type-LB Conduit Body, Aluminum	Bridgeport LB-42 3/4 Typ-LB Kabelkanalgehäuse, Aluminium	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4504383.jpg	11.94	7.52	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Bridgeport Fittings, LLC	LB-48	['LB-', 'LB-4', 'LB-48']	78174704148	Threaded bodies for rigid conduit or IMC allows access for inspection, pulling and maintenance.	Gewindekörper für starre Leitungen oder IMC ermöglichen den Zugang für Inspektion, Einzug und Wartung.		 			Aluminum	Aluminium		 		4.6	Type LB	Typ LB	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4504387___4504387	4504387	BRDGPRT LB-48 3 LB Rigid Conduit	BRDGPRT LB-48 3 LB Starres Schutzrohr	Bridgeport LB-48 3 Type-LB Conduit Body, Aluminum	Bridgeport LB-48 3 Typ-LB Kabelkanalgehäuse, Aluminium	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4504387.jpg	6.49	4.09	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Bridgeport Fittings, LLC	LB-49	['LB-', 'LB-4', 'LB-49']	78174704149	Threaded bodies for rigid conduit or IMC allows access for inspection, pulling and maintenance.	Gewindekörper für starre Leitungen oder IMC ermöglichen den Zugang für Inspektion, Einzug und Wartung.		 			Aluminum	Aluminium		 		7.7	Type LB	Typ LB	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4504388___4504388	4504388	BRDGPRT LB-49 3-1/2 LB Rigid	BRDGPRT LB-49 3-1/2 LB Starr	Bridgeport LB-49 3-1/2 Type-LB Conduit Body, Aluminum	Bridgeport LB-49 3-1/2 Typ-LB Kabelkanalgehäuse, Aluminium	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4504388.jpg	13.8	8.69	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Bridgeport Fittings, LLC	LB-50	['LB-', 'LB-5', 'LB-50']	78174704150	Threaded bodies for rigid conduit or IMC allows access for inspection, pulling and maintenance.	Gewindekörper für starre Leitungen oder IMC ermöglichen den Zugang für Inspektion, Einzug und Wartung.		 			Aluminum	Aluminium		 		8.4	Type LB	Typ LB	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4504389___4504389	4504389	BRDGPRT LB-50 4 LB Rigid Conduit	BRDGPRT LB-50 4 LB Starres Schutzrohr	Bridgeport LB-50 4 Type-LB Conduit Body, Aluminum	Bridgeport LB-50 4 Typ-LB Kabelkanalgehäuse, Aluminium	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4504389.jpg	6.12	3.85	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Bridgeport Fittings, LLC	LB-69	['LB-', 'LB-6', 'LB-69']	78174706169	Threaded bodies for rigid conduit or IMC allows access for inspection, pulling and maintenance.	Gewindekörper für starre Leitungen oder IMC ermöglichen den Zugang für Inspektion, Einzug und Wartung.		 			Malleable Iron	Temperguss		 		19.1	Type LB	Typ LB	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4504826___4504826	4504826	BRDGPRT LB-69 3-1/2 LB Rigid	BRDGPRT LB-69 3-1/2 LB Starr	Bridgeport LB-69 3-1/2 LB Rigid Conduit Body, Malleable	Bridgeport LB-69 3-1/2 LB starrer Leitungskörper, formbar	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4504826.jpg	8.37	5.27	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Bridgeport Fittings, LLC	LB-32	['LB-', 'LB-3', 'LB-32']	78174703132	Allows access to the interior of a conduit system for inspection, pulling and maintenance.	Ermöglicht den Zugang zum Inneren eines Leitungssystems für Inspektions-, Zieh- und Wartungsarbeiten.		 			Aluminum	Aluminium		 		0.413	Type LB Set Screw	Stellschraube Typ LB	FALSE	https://pacific.bloomreach.com/supplyglobal/products/4504967___4504967	4504967	BRDGPRT LB-32 3/4 EMT Conduit	BRDGPRT LB-32 3/4 EMT-Rohr	Bridgeport LB-32 3/4 Type-LB EMT Conduit Body, Aluminum	Bridgeport LB-32 3/4 Typ-LB EMT-Rohrkörper, Aluminium	Bridgeport	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4504967.png	5.74	3.62	[[{'id': 'NA_110000000000', 'name': 'Conduit, Fittings, & Raceway'}, {'id': 'NA_110300000000', 'name': 'Electrical Conduit & Fittings'}, {'id': 'NA_110302000000', 'name': 'Metallic Conduit & Fittings'}, {'id': 'NA_110302030000', 'name': 'Conduit Body, Covers, & Gaskets'}, {'id': 'NA_110302030900', 'name': 'Type LB Condulets'}]]
Apex Tool Group	R212CV	['R21', 'R212', 'R212C', 'R212CV']	3710346373		 		 				 		 		ea		 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4506735___4506735	4506735	CRESCENT R212CV Pliers, Tongue &	CRESCENT R212CV Zange, Zunge &	Plier tongue & groove straight jaw cush grip 12	Zange mit Zungen- und Federverbindung, gerade Backen, gepolsterter Griff 12	CRESCENT	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4506735.jpg	12.13	7.64	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855280000', 'name': 'Tongue and Groove Pliers'}]]
Panduit	PLT1.5M-M20	['PLT', 'PLT1', 'PLT1.', 'PLT1.5', 'PLT1.5M', 'PLT1.5M-', 'PLT1.5M-M', 'PLT1.5M-M2', 'PLT1.5M-M20']	7498356017	General	Allgemein	Black	Schwarz			Nylon 6.6	Nylon 6.6		 		1	Cable Ties	Kabelbinder	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4507510___4507510	4507510	PAND PLT1.5M-M20 Cable Tie 5.6L	PAND PLT1.5M-M20 Kabelbinder 5,6L	Panduit PLT1.5M-M20 Cable Tie, 5.6L (142mm), Miniature, Nylon, Black	Panduit PLT1.5M-M20 Kabelbinder, 5,6L (142 mm), Miniatur, Nylon, Schwarz	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4507510.jpg	5.5	3.47	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Milwaukee Electric Tool	6536-21	['653', '6536', '6536-', '6536-2', '6536-21']	4524205416	For Used With SAWZALL Style Blades	Zur Verwendung mit Sägeblättern im SAWZALL-Stil		 		18-3/4 in		 		 	120 VAC	14.4	Orbital	Orbital	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4507636___4507636	4507636	MILW 6536-21 13A Orbital Super	MILW 6536-21 13A Orbital Super	Milwaukee 6536-21 13 Amp Orbital SAWZALL&#174; Reciprocating Saw	Milwaukee 6536-21 13 Amp Orbital SAWZALL® Säbelsäge	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4507636.jpg	14.15	8.91	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503410000', 'name': 'Saws'}, {'id': 'NA_251503410800', 'name': 'Reciprocating Saws'}]]
Rockwell Automation	800T-QMH2R	['800', '800T', '800T-', '800T-Q', '800T-QM', '800T-QMH', '800T-QMH2', '800T-QMH2R']	88563025634		 	Red	Rot				 		 	130 VAC//VDC	0.419	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4508684___4508684	4508684	AB 800T-QMH2R 800T 30mm Push Button	AB 800T-QMH2R 800T 30mm Drucktaster	A-B 800T-QMH2R 30mm Momentary Push Button 800T PB	A-B 800T-QMH2R 30mm Momentan-Drucktaster 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4508684.jpg	11.37	7.16	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
Rockwell Automation	800T-QBH2GG1	['800', '800T', '800T-', '800T-Q', '800T-QB', '800T-QBH', '800T-QBH2', '800T-QBH2G', '800T-QBH2GG', '800T-QBH2GG1']	88563011929		 	Green	Grün				 		 	130 VAC//VDC	0.514	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4509933___4509933	4509933	AB 800T-QBH2GG1 800T 30mm Push	AB 800T-QBH2GG1 800T 30mm Push	A-B 800T-QBH2GG1 30mm Momentary Push Button 800T PB	A-B 800T-QBH2GG1 30mm Momentan-Drucktaster 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4509933.jpg	9.38	5.91	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
Rockwell Automation	800T-QBH2AG1	['800', '800T', '800T-', '800T-Q', '800T-QB', '800T-QBH', '800T-QBH2', '800T-QBH2A', '800T-QBH2AG', '800T-QBH2AG1']	88563026079		 	Amber	Bernstein				 		 	130 VAC//VDC	0.507	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4509934___4509934	4509934	AB 800T-QBH2AG1 800T 30mm Push	AB 800T-QBH2AG1 800T 30mm Push	A-B 800T-QBH2AG1 30mm Momentary Push Button 800T PB	A-B 800T-QBH2AG1 30mm Momentan-Drucktaster 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4509934.jpg	7.8	4.92	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
Rockwell Automation	800T-QBH2RG1	['800', '800T', '800T-', '800T-Q', '800T-QB', '800T-QBH', '800T-QBH2', '800T-QBH2R', '800T-QBH2RG', '800T-QBH2RG1']	88563026096		 	Red	Rot				 		 	130 VAC//VDC	0.507	30mm Momentary Push Button	30-mm-Momentan-Drucktaster	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4509935___4509935	4509935	AB 800T-QBH2RG1 800T 30mm Push	AB 800T-QBH2RG1 800T 30mm Push	A-B 800T-QBH2RG1 30mm Momentary Push Button 800T PB	A-B 800T-QBH2RG1 30mm Momentan-Drucktaster 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4509935.jpg	10.37	6.53	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
